"","country","str","LatLong_raw","Freq"
"38","CHILE","Chile  An t-Sile,An tSile,Cayile,Chi-le,Chi-le (Chile),Chi-lê,Chi-lê (Chile),Chiilii,Chile,Chili,Chilia,Chi...-30.0-71.0","0-71.0",8
"39","CHINA","China  Althydulydveldid Kina,Alþýðulýðveldið Kína,An tSin,An tSín,Caina,Caina  Sin,Cayina,Chaina,China,Chin...35.0105.0","105.0",9
"40","Coast of AFRICA","Gold Coast  City of Gold Coast,Costa Dorada,Gold,Gold Coast,Gold Koust,OOL,gorudokosuto,huang jin hai an,<U+0413><U+043E><U+043B><U+0434> <U+041A><U+043E>...-28.00029153.430878",".-28.00029153.430878",1
"41","COLOMBIA","Colombia  An Choloim,An Cholóim,Co-lom-bi-a,Co-lom-bi-a (Colombia),Coloimbia,Colombia,Colombie,Colombié,Columb...4.0-73.25",".0-73.25",1
"42","COLUMBIA","Colombia  An Choloim,An Cholóim,Co-lom-bi-a,Co-lom-bi-a (Colombia),Coloimbia,Colombia,Colombie,Colombié,Columb...4.0-73.25",".0-73.25",9
"43","COMOROS","Comoros  Al Qumur,Bizinga by'eKomoro,Co-mo,Co-mo (Comoros),Comor-szigetek,Comoras,Comore,Comore-eilande,Comor...-12.23332589158509344.445533752441406","2.23332589158509344.445533752441406",1
"44","COOK ISLANDS","ChicagoCHI,Cekaga,Chi-ka-ko,Chi-kâ-kô,Chicago,Chicagu,Chikago,Cikaga,Cikago,Cikaqo,E-Chicago,Gorad Chykaga,...41.850033-87.6500523","50033-87.6500523",1
"45","COSTA RICA","Ivory Coast  Aibari Kwas,Aibori Kot,Akte Elephantodontos,Akte Elephantostou,An Costa Eabhair,An Cósta Eabhair,Aod...8.0-5.5","..8.0-5.5",17
"46","CRETE","Crete  Creta,Crete,Crète,Kreeta,Kreta,Kriti,an Chreit,an Chréit,keuliti ju,<U+039A><U+03C1><U+03AE>t<U+03B7>,<U+D06C><U+B9AC><U+D2F0> <U+C8FC>35.155845702265424.89501953125","25",2
"47","CROATIA","Croatia  An Chroit,An Chróit,Chorvatsko,Chorvátsko,Chorwacja,Chorwatska,Cravuazie,Cro-a-ti-a,Cro-a-ti-a (Croa...45.166666715.5",".166666715.5",34
"48","CUBA","Cuba  Ciwba,Cu Ba,Cu-ba,Cuba,Cubba,Cúba,Isla Juana,Kiba,Kioba,Kiobà,Kiuba,Kiumba,Kiupa,Kouba,Kuba,Kuba nut...22.0-79.5","79.5",46
"49","CURACAO","Curaçao  CUR,Country of Curacao,Country of Curaçao,Curacao,Curazao,Curaçao,Kjurasao,Korsou,Kourasao,Kòrsou,Pa...12.166667-68.966667",".166667-68.966667",1
"50","CYPRUS","Cyprus  An Chipir,Chip,Chipre,Chipre - Kypros,Chipre - <U+039A><U+03CD>p<U+03C1><U+03BF><U+03C2>,Chipro,Chypre,Cipar,Ciper,Cipra,Cipri,Cipro,Ci...35.033.0","033.0",1
"51","DIEGO GARCIA","San Diego  Davis' Folly,Didacopolis,Gorad San-Dyega,Graytown,Lungsod ng San Diego,New San Diego,SAN,San Diegas,...32.71571-117.16472","32.71571-117.16472",1
"52","DJIBOUTI","Djibouti  Afars and Issas,Chibuti,Ciboti,Cibutaen,Cibuti,Cibutän,Cote Francaise des Somalis,Cîbûtî,Côte França...11.83333342.5","1.83333342.5",1
"53","DOMINICAN REPUBLIC","Dominican House of Studies  Dominican Home of Studies,Dominican House of Studies38.931427-76.9988062","",7
"54","ECUADOR","Ecuador  'Ekuetoa,E-cu-a-go,E-qu-a-go (Ecuador),Eacuador,Eacuadór,Ecuador,Ecwador,Ehkvador,Ekoatera,Ekouador,...-1.25-78.25",".25-78.25",9
"55","EGYPT","Egypt  'Isipite,AEgypten,Aegyptus,Agypten,Ai Cap,Ai C<U+1EAD>p,Aigyptos,Aikupito,Al Iqlim al Janubi,Al Iqlim al Mi...27.030.0","30.0",41
"56","EGYPT ","Egypt  'Isipite,AEgypten,Aegyptus,Agypten,Ai Cap,Ai C<U+1EAD>p,Aigyptos,Aikupito,Al Iqlim al Janubi,Al Iqlim al Mi...27.030.0","30.0",2
"57","EGYPT / ISRAEL","Egypt  'Isipite,AEgypten,Aegyptus,Agypten,Ai Cap,Ai C<U+1EAD>p,Aigyptos,Aikupito,Al Iqlim al Janubi,Al Iqlim al Mi...27.030.0","30.0",1
"58","EL SALVADOR","Earth  Aarde,Earth,Er shary,Erde,Foeld,Föld,Ge,Globe,Globo,Jorden,La terdi,Lurra,Maa,Monde,Mondo,Mundo,Mund...0.00.0",".0",4
"59","ENGLAND","England  'Ingilani,AEnglound,Anghiltera,Anghiltèra,Anglaterra,Anglatèrra,Anglete,Angleterre,Angletè,Angli,Ang...52.1604545577471-0.703125",".1604545577471-0.703125",23
"60","EQUATORIAL GUINEA / CAMEROON","Equatorial Guinea  'Ekueta Kini,AEkvatorial Guinea,AEkvatorialguinea,AEquatoriaal-Guinea,AEquatorialguinea,An Ghuine Mh...1.710.5","ne Mh...1.710.5",1
"61","FALKLAND ISLANDS","Falkland TroughFalkland Chasm,Malvinas Chasm,Malvinas Trough-53.0-54.0","",1
"62","FEDERATED STATES OF MICRONESIA","Russia  Conaidhm na Ruise,Cónaidhm na Rúise,Den russiske foderasjon,Den russiske føderasjon,Errusia,Federati...60.0100.0","0100.0",1
"63","Fiji","Fiji  Bidji,Feeje,Fichi,Fici,Ficiyuaens,Ficiyuäns,FidIi,Fidi,Fidji,Fidjieyjar,Fidj·i,Fidschi,Fidsi,Fidsí,F...-18.0178.0","178.0",3
"64","FIJI","Fiji  Bidji,Feeje,Fichi,Fici,Ficiyuaens,Ficiyuäns,FidIi,Fidi,Fidji,Fidjieyjar,Fidj·i,Fidschi,Fidsi,Fidsí,F...-18.0178.0","178.0",62
"65","FRANCE","France  An Fhrainc,An Fhraing,Bro-C'hall,Bufalansa,Falanise,Falanise,Falansia,Faláns<U+025B>,Farani,Faransa,Faransi...46.02.0","02.0",13
"66","FRENCH POLYNESIA","French Southern Territories  Anyiehe Franseme nutome,Criocha Deisceartacha na Fraince,Críocha Deisceartacha na Fraince,De franske...-43.067.0","ince,De franske...-43.067.0",26
"67","GABON","Gabon  An Ghabuin,An Ghabúin,El Gabon,Ga-bong,Ga-bong (Gabon),Ga-bông,Ga-bông (Gabon),Gaaboon,Gabao,Gabhoni...-1.011.75","11.75",1
"68","GEORGIA","Georgia  A Chairtbheil,An tSeoirsia,Cheorchia,Djiordjiya,Dzordzija,Gah-lu-gek-a,Geolgia,Georgaen,Georgia,Geor...41.99998143.499905",".99998143.499905",1
"69","GHANA","Ghana  Gaana,Gana,Gana - Ghana,Ganaa,Ganaea,Ganaen,Ganao,Gane,Ganäa,Ganän,Ganë,Gha-na,Gha-na (Ghana),Ghana,...8.1-1.2","1.2",1
"70","GRAND CAYMAN","Grand Gedeh County  Grand Gedeh,Grand Gedeh County,Grand Jide County5.966667-8.2","",1
"71","GREECE","Greece  A Ghreig,A Ghrèig,An Ghreig,An Ghréig,Bugereeki/Buyonaani,Ellada,Ellas,Elliniki Dhimokratia,Elliniki...39.022.0","022.0",24
"72","GREENLAND","Greenland  An Ghraonlainn,Bang GJao,Bang Ð<U+1EA3>o,Gorolande,Gorolânde,Gorwendland,Gowelande,Graenland,Greenland,Gree...72.0-40.0","72.0-40.0",1
"73","GRENADA","Grenada  Colony of Grenada,GND,Garnaad,Gelenad<U+025B>,Gerenada,Giranaadaa,Giriinaada,Girnada,Granada,Granada - Gren...12.1166667-61.6666667",".1166667-61.6666667",4
"74","GUAM","Guam  GJao Gu-am,GUM,Guahan,Guam,Guam - US Unincorporated Organized Territory,Guam nutome,Guama,Guamas,Guw...13.478611569488931144.81834411621094","8611569488931144.81834411621094",4
"75","GUATEMALA","Guatemala  Cuauhtemallan,Cuauhtemallan,Goa-te-ma-la,Goa-tê-ma-la,Goatemala,Goatemalà,Gouatemala,Guatamala,Guate...15.5-90.25","15.5-90.25",1
"76","GUINEA","Guinea  An Ghuine,Franzosisch-Guinea,Französisch-Guinea,French Guinea,Ghi-ne,Ghi-ne (Guinea),Ghi-nê,Ghi-nê (...10.833333-10.666667","833333-10.666667",3
"77","GULF OF ADEN","Gulf Province  Gulf,Gulf District,Gulf Province-7.724600166486452145.08544921875","",1
"78","GUYANA","Guyana  An Ghuain,An Ghuáin,British Guiana,Co-operative Republic of Guyana,Gajana,Gajana,Gayana,Gayâna,Giana...5.0-59.0","-59.0",3
"79","HAITI","Haiti  Aite,Aiti,Ayiti,Gaici,Gaiti,Ha-i-ti,Ha-i-ti (Haiti),Haiiti,Haiti,Haiti - Haiti,Haiti nutome,Haitia,H...19.07582-72.29616","7582-72.29616",3
"80","HONDURAS","Honduras  Ganduras,Gonduras,Hon-gu-rat,Hon-gu-rat (Honduras),Hondiorasy,Hondouras,Hondourasse,Honduraen,Hondur...15.0-86.5","5.0-86.5",4
"81","HONG KONG","Changwat Mae Hong Son  Changwat Mae Hong Son,Mae Hong Son,Mae Hong Sorn,Mae Rong Son,Mae Rong Sorn,Maehongsorn,Mao Hong Son...18.7597.9166667"," Hong Son...18.7597.9166667",24
"82","ICELAND","Iceland  'Aisilani,Aesland,Ai-xo-len,Ai-xo-len (Iceland),Ai-xo-len,Ai-xo-len (Iceland),Aisalan,Aiseland nutom...65.0-18.0",".0-18.0",2
"83","INDIA","India  'Inia,'Initia,An GJo,An India,Barat,Barato,Bharat,Bharato,Buyindi,Ehnehtkhehg,End,Ende,Ennde,Enndo,E...22.079.0","79.0",40
"84","INDIAN OCEAN","Southern Asia  Hindio,India,Southern Asia,Subcontinente Indio22.207749178410876.97021484375","",7
"85","INDIAN OCEAN?","Southern Asia  Hindio,India,Southern Asia,Subcontinente Indio22.207749178410876.97021484375","",1
"86","INDONESIA","Indonesia  'Initonesia,An Indineis,An Indinéis,Dutch East Indies,Endonezi,Endonezya,Enndonesii,Enndonezii,In-go...-5.0120.0","-5.0120.0",23
"87","IRAN","Iran  'Iulaani,An Iarain,An Iaráin,Den Islamiske Republik Iran,Ehron,Empire of Iran,Eran,Eron,I-ran,Iiraan...32.053.0","3.0",29
"88","IRAN / IRAQ","Iran  'Iulaani,An Iarain,An Iaráin,Den Islamiske Republik Iran,Ehron,Empire of Iran,Eran,Eron,I-ran,Iiraan...32.053.0","3.0",1
"89","IRAQ","Iraq  'Iulaaki,Al Jumhuriyah al `Iraqiyah,Al Jumhuriyah al ‘Iraqiyah,Al `Iraq,Al ‘Iraq,An Iaraic,An Iaráic...33.044.0","4.0",12
"90","IRELAND","Ireland  'Aealani,Aereland,Ai-len,Aialan,Airija,Ayalan,Ayalandi,Ayrlaand,Cong hoa Ireland,C<U+1ED9>ng hòa Ireland,De...53.0-8.0",".0-8.0",2
"91","ISRAEL","Israel  'Isileli,Dawlat Isra'il,Dawlat Isra’il,Eretz Yisrael,Erez Yisra'el,Ere<U+1E95> Yisra’el,I-xra-en,Iisrael,Io...31.534.75","534.75",7
"92","ITALY","Italy  'Itali,'Itaria,An Eadailt,An Iodail,An Iodáil,Etalie,Itaalia,Itaalje,Itaglia,Itali,Italia,Italia (Y)...42.833333312.8333333","33333312.8333333",72
"93","ITALY / CROATIA","Italy  'Itali,'Itaria,An Eadailt,An Iodail,An Iodáil,Etalie,Itaalia,Itaalje,Itaglia,Itali,Italia,Italia (Y)...42.833333312.8333333","33333312.8333333",1
"94","JAMAICA","Jamaica  Camayka,Camekeaen,Camekeän,Chamaica,D'amajka,Djamaika,Dzamaika nutome,Dzhamajka,Gamajka,Giamaica,Gia...18.166667-77.25",".166667-77.25",28
"95","JAPAN","Japan  An Iapan,An tSeapain,An tSeapáin,Aponia,Bina'adaaltzózí Diné'i' Bikéyah,Caponia,Chapan,Chapon,Chapón...35.6853569043379139.753088951111","853569043379139.753088951111",34
"96","JAVA","","",1
"97","JOHNSTON ISLAND","Johnston Atoll  Atol Johnston,Atoll de Johnston,Atolle Tzonston,Atollo Johnston,Atolon Johnston,Atolón Johnston,Dzho...16.7282762596585-169.534277915955","ho...16.7282762596585-169.534277915955",2
"98","KENYA","Kenya  A Cheinia,An Cheinia,An Chéinia,Cenia,Chenia,Jamhuri ya Kenya,Ke-ni-a,Ke-ni-a (Kenya),Keenia,Keeniya...1.038.0","8.0",10
"99","KIRIBATI","Kiribati  Ciribeas,Gilbert Islands,Karibati,Khiribati,Ki-ri-ba-ti,Kilipasi,Kiribari,Kiribas,Kiribasi,Kiribat,K...1.421172.984",".421172.984",6
"100","KOREA","South Korea  An Choire Theas,An Chóiré Theas,Anaafo Koria,Anyiehe Korea nutome,Caoli,Chosen,Choson,Choson,Chyosyo...36.5127.75","..36.5127.75",1
"101","KUWAIT","Kuwait  Al Kuwait,Al Kuwayt,Al Kuweit,Ciwait,Co-oet,Coweit,Cuait,Cubhait,Cuvaitum,Cuáit,Cô-oét,Dawlat al Kuw...29.547.75","547.75",1
"102","LEBANON","Lebanon  Al Jumhuriyah al Lubnaniyah,Al Jumhuriyah al Lubnaniyah,An Liobain,An Liobáin,Etat du Grand Liban,La...33.83333335.833333",".83333335.833333",3
"103","LIBERIA","Liberia  An Libeir,An Libéir,Laberiya,Laeberia,Laipelia,Laybeeriya,Li-be-ri-a,Li-bê-ri-a,Libeeria,Libeiria,Li...6.5-9.5","5-9.5",3
"104","LIBYA","Libya  Al Jamahiriyah al 'Arabiyah al Libiyah ash Sha'biyah al Ishtirakiyah,Al Jamahiriyah al ‘Arabiyah al ...28.017.0","17.0",6
"105","MADAGASCAR","Madagascar  Bukini,Democratic Republic of Madagascar,Grande-Ile,Grande-Terre,Grande-Île,Ile Rouge,La Grand Ile d...-20.047.0",".-20.047.0",8
"106","MALAYSIA","Malaysia  An Mhalaeisia,Federation of Malaya,Federation of Malaysia,Ma Lai (Ma-lay-xi-a),Ma-lay-xi-a,Malaezia,...2.5112.5",".5112.5",5
"107","MALDIVE ISLANDS","Maldives  Bizinga by'eMalidive,Dhivehi Raajje,Dhivehi Raajjeyge Jumhooriyyaa,Insulae Maldivae,Maaldiqeen,Madiv...3.273.0",".273.0",1
"108","MALDIVES","Maldives  Bizinga by'eMalidive,Dhivehi Raajje,Dhivehi Raajjeyge Jumhooriyyaa,Insulae Maldivae,Maaldiqeen,Madiv...3.273.0",".273.0",1
"109","MALTA","Malta  Insula Malta,Isla de Malta,MLA,Maalda,Mal'ta,Malita,Malite,Malit<U+025B>,Malta,Malta Island,Malta nutome,Ma...35.91666714.433333","1666714.433333",5
"110","MARSHALL ISLANDS","Boaz  Boaz,bo a si,bo'aja,boazu,bwaz,<U+0411><U+043E><U+0430><U+0437>,<U+0628><U+0648><U+0627><U+0632>,<U+092C><U+094B><U+0906><U+091C>,<U+30DC><U+30A2><U+30BA>,<U+6CE2><U+963F><U+65AF>34.2006503-86.1663655","",13
"111","MARTINIQUE","Martinique  La Martinique,Maertiniki,Marcinika,Maritiniiki,Maritiniki,Martainic,Martainíc,Martinica,Martinik,Mar...14.6666667-61.0",".14.6666667-61.0",3
"112","MAURITIUS","Mauritius  Ile Maurice,Ile de France,Isle de France,Izinga rya Morise,MRU,Maorisy,Maritius,Maulitiusi,Maurice,M...-20.357.5833333","-20.357.5833333",10
"113","MAYOTTE","Mayotte  Collectivite Territoriale de Mayotte,Collectivité Territoriale de Mayotte,Departement Mayotte,Maeyot...-12.833333345.1666667","2.833333345.1666667",1
"114","MEDITERRANEAN SEA","Mediterranean Region  Akdeniz Bolgesi,Akdeniz Bölgesi36.78713134.220013","",2
"115","MEXICO","Mexico  Bek-se-ko,Be<U+030D>k-se-ko,Estados Unidos Mexicanos,IMekisikho,IMekisiko,Maegsaego,Maexikaen,Makasiko,Maxi...23.0-102.0","0-102.0",93
"116","MEXICO ","Mexico  Bek-se-ko,Be<U+030D>k-se-ko,Estados Unidos Mexicanos,IMekisikho,IMekisiko,Maegsaego,Maexikaen,Makasiko,Maxi...23.0-102.0","0-102.0",1
"117","MICRONESIA","Micronesia  An Mhicrineis,An Mhicrinéis,Awon Ipinle Asepapo ile Mikronesia,Dewlete Mikronezyaye Federali,Dewlete...6.924158.162",".6.924158.162",3
"118","MID ATLANTIC OCEAN","Mid Western  Mid Western,jungseobu gaebal jigu,madhya-pascimancala vikasa ksetra,<U+092E><U+0927><U+094D><U+092F>-<U+092A><U+0936><U+094D><U+091A><U+093F><U+092E><U+093E><U+091E><U+094D><U+091A><U+0932> <U+0935><U+093F><U+0915><U+093E><U+0938> <U+0915><U+094D><U+0937><U+0947><U+0924><U+094D><U+0930>,<U+C911>...29.059771002186282.313346862793","..29.059771002186282.313346862793",5
"119","MONACO","Monaco  Manaka,Manako,Mo-na-co,Monaakoo,Monaco,Monaco - Monaco,Monacó,Monacô,Monakaen,Monakas,Monakho,Monako...43.7314140137697.41903305053711","7314140137697.41903305053711",1
"120","MONTENEGRO","Montenegro  Am Monadh Neagrach,Bgyf<U+04C0>yc<U+04C0>ej,Carnogorska,Carnogórska,Cerna Hora,Cernogoriya,Cernoqoriya,ChIegIermeg...42.7519.25",".42.7519.25",3
"121","MOZAMBIQUE","Mozambique  Colonia de Mocambique,Colónia de Moçambique,Estado de Mocambique,Estado de Moçambique,Mazambik,Mo-da...-18.2535.0",".-18.2535.0",45
"122","NAMIBIA","Namibia  An Namaib,Na-mi-bi-a (Namibia),Nam-mi-bi-a,Namibhiya,Namibi,Namibia,Namibia nutome,Namibie,Namibien,...-22.017.0","2.017.0",2
"123","NETHERLANDS ANTILLES","Netherlands  Alankomaat,An Isiltir,An Ísiltír,Bas Payis,Belanda,ENetherlands,Gollandii,Gollandija,Ha Lan,Herbeher...52.255.75","..52.255.75",1
"124","NEVIS","","",1
"125","NEW BRITAIN","New York  Aebura,Bandar Raya New York,Big Apple,Cathair Nua-Eabhrac,City of New York,Eabhraig Nuadh,Efrog Newy...40.7142691-74.0059729","0.7142691-74.0059729",6
"126","NEW CALEDONIA","New York  Aebura,Bandar Raya New York,Big Apple,Cathair Nua-Eabhrac,City of New York,Eabhraig Nuadh,Efrog Newy...40.7142691-74.0059729","0.7142691-74.0059729",55
"127","NEW GUINEA","New York  Aebura,Bandar Raya New York,Big Apple,Cathair Nua-Eabhrac,City of New York,Eabhraig Nuadh,Efrog Newy...40.7142691-74.0059729","0.7142691-74.0059729",10
"128","NEW ZEALAND","New York  Aebura,Bandar Raya New York,Big Apple,Cathair Nua-Eabhrac,City of New York,Eabhraig Nuadh,Efrog Newy...40.7142691-74.0059729","0.7142691-74.0059729",132
"129","NICARAGUA","Nicaragua  Nekaraguwa,Ni-ca-ra-goa,Ni-ca-ra-goa (Nicaragua),Nicanahuac,Nicaragoa,Nicaragua,Nicaraguaduk<U+0254>,Nicara...13.0-85.0","13.0-85.0",6
"130","NICARAGUA ","Nicaragua  Nekaraguwa,Ni-ca-ra-goa,Ni-ca-ra-goa (Nicaragua),Nicanahuac,Nicaragoa,Nicaragua,Nicaraguaduk<U+0254>,Nicara...13.0-85.0","13.0-85.0",1
"131","NIGERIA","Nigeria  An Nigeir,An Nigéir,Federal Republic of Nigeria,Federation of Nigeria,INigeria,Naegyeria,Naigeria,Na...10.08.0",".08.0",4
"132","NORTH ATLANTIC OCEAN","South  Dixie,Dixieland,Southern United States33.458762686596614-90.1508149085921","",4
"133","NORTH ATLANTIC OCEAN ","South  Dixie,Dixieland,Southern United States33.458762686596614-90.1508149085921","",1
"134","NORTH PACIFIC OCEAN","South  Dixie,Dixieland,Southern United States33.458762686596614-90.1508149085921","",7
"135","NORTH SEA","South  Dixie,Dixieland,Southern United States33.458762686596614-90.1508149085921","",1
"136","NORTHERN ARABIAN SEA","Northern Africa  Africa del Norte,Afrique du Nord,Noord-Afrika,Nordafrica,Nordafrika,Norte de Africa,Norte de África,...32.953368145799329.9755859375","ca,...32.953368145799329.9755859375",1
"137","NORTHERN MARIANA ISLANDS","Northern Africa  Africa del Norte,Afrique du Nord,Noord-Afrika,Nordafrica,Nordafrika,Norte de Africa,Norte de África,...32.953368145799329.9755859375","ca,...32.953368145799329.9755859375",1
"138","NORWAY","Norway  An Iorua,Kingdom of Norway,Kongeriget Norge,Kongeriket Noreg,Kongeriket Norge,Na Uy,Narvegia,Nirribh...62.010.0","010.0",2
"139","OCEAN","Ocean  Departement de Kribi,Département de Kribi,Kribi,Ocean2.7510.25","",1
"140","OKINAWA","Okinawa  Gubernio Okinavo,Maoracht Okinawa,Mkoa wa Okinawa,Okinava,Okinavas prefektura,Okinavas prefektura,Ok...26.5127.933333",".5127.933333",6
"141","PACIFIC OCEAN","Pacific Northwest  Cascadia45.99696-118.49854","",17
"142","PACIFIC OCEAN ","Pacific Northwest  Cascadia45.99696-118.49854","",2
"143","PALAU","Palau  Belau,Belauo,Belavia,Belauo,Beluu er a Belau,Orileede Paalu,Oríl<U+1EB9>´ède Paalu,Pala,Palao,Palaos,Palaou...7.503134.621","3134.621",5
"144","PALESTINIAN TERRITORIES","Palestine  De palaestinensiske omrader,De palæstinensiske områder,Falastiin Daanka galbeed iyo Qasa,Filistin Bo...31.921570015932435.2032852172852","31.921570015932435.2032852172852",1
"145","PANAMA","Panama  Orileede Panama,Oríl<U+1EB9>´ède Panama,Pa-na-ma,Panama,Panama nutome,Panamaa,Panamaen,Panamaja,Panamas,Pan...9.0-80.0","-80.0",32
"146","PAPUA NEW GUINEA","Papua New Guinea  Independent State of Papua New Guinea,Nua-Ghuine Phapua,Nugini Papua Nugini,Orileede Paapu ti Giini,...-6.0147.0","ini,...-6.0147.0",134
